,Rank_water_stress_baseline,Rank_Water_improve,Name,Basline_Water_stress_All sectors,Basline_Water_stress_sd,Drought_severity,Improve_ water_source,Total population,Population wo access water,Population possible access National water,Revised Pop wo water,Possible water provider,Revised possible water provider,status
124,140,164,Congo,0.427577452,1.398236325,1.330475648,52.4,77266814,36779003.46,35329652.25,1449351.205,0,0,water consumer
84,96,161,Tanzania,1.498342011,1.262066276,1.432091669,55.6,53470420,23740866.48,18723512.34,5017354.14,0,0,water consumer
27,36,162,Afghanistan,4.009097519,1.250574174,2.478334272,55.3,32526562,14539373.21,6446130.197,8093243.013,0,0,water consumer
108,122,166,Mozambique,0.824086669,1.552673459,1.263755624,51.1,27977863,13681175.01,11683313.11,1997861.903,0,0,water consumer
82,94,168,Angola,1.539987159,2.1356363,1.787932304,49,25021974,12761206.74,8657635.135,4103571.605,0,0,water consumer
94,107,165,Madagascar,1.247565555,1.3215784,0.913844184,51.5,24235390,11754164.15,9094171.222,2659992.928,0,0,water consumer
119,133,167,Chad,0.522388601,1.358659394,2.536297427,50.8,14037472,6906436.224,6285434.464,621001.76,0,0,water consumer
115,129,170,Papua New Guinea,0.596268378,1.430866482,0.971851249,40,7619321,4571592.6,3355344.483,1216248.117,0,0,water consumer
20,26,154,Palestine,4.633905092,0.497888831,2.101935828,58.4,4422143,1839611.488,323784.8069,1515826.681,0,0,water consumer
25,34,148,Mongolia,4.046933749,1.955053634,1.569343845,64.4,2959134,1053451.704,564050.1495,489401.5545,0,0,water consumer
13,17,71,Saudi Arabia,4.992350923,0.177641544,2.118676954,97,31540372,946211.16,48250.94681,897960.2132,0,0,water consumer
17,22,110,Kyrgyzstan,4.821997893,0.371000714,2.319834571,90,5957000,595700,212071.7103,383628.2897,0,0,water consumer
118,132,169,Equatorial Guinea,0.536396053,1.480094588,0.582005778,47.9,845060,440276.26,377201.3151,63074.94485,0,0,water consumer
18,23,143,East Timor,4.806092253,0.4777773,0.637626411,71.9,1245015,349849.215,48283.61073,301565.6043,0,0,water consumer
15,19,92,Oman,4.913785867,0.27138338,3.414921125,93.4,4490541,296375.706,77429.6198,218946.0862,0,0,water consumer
5,1,90,Jamaica,5,0,0.015443991,93.8,2725941,169008.342,0,169008.342,0,0,water consumer
3,1,106,Comoros,5,0,0,90.1,788474,78058.926,0,78058.926,0,0,water consumer
11,1,83,Trinidad and Tobago,5,0,0.702382509,95.1,1360088,66644.312,0,66644.312,0,0,water consumer
14,18,57,Kuwait,4.964874491,0.171915097,1.949958201,99,3892115,38921.15,27342.50409,11578.64591,0,0,water consumer
12,1,44,United Arab Emirates,5,0,2.918753558,99.6,9156963,36627.852,0,36627.852,0,0,water consumer
8,1,75,Saint Lucia,5,0,0,96.3,184999,6844.963,0,6844.963,0,0,water consumer
9,1,84,Saint Vincent,5,0,0,95.1,109462,5363.638,0,5363.638,0,0,water consumer
0,1,64,Antigua and Barbuda,5,0,0,97.9,91818,1928.178,0,1928.178,0,0,water consumer
2,1,40,Barbados,5,0,0,99.7,284215,852.645,0,852.645,0,0,water consumer
61,73,25,Monaco,2.664468084,0,0.504926026,100,37731,0,17624.39094,-17624.39094,17624.39094,17624.39094,water supplier
44,55,1,Andorra,3.326590774,0.430103424,1.761520345,100,70473,0,47172.06735,-47172.06735,47172.06735,47172.06735,water supplier
140,156,20,Iceland,0.136669564,0.096942772,0.594761429,100,330823,0,160890.1565,-160890.1565,160890.1565,160890.1565,water supplier
65,77,24,Luxembourg,2.508313934,0.092178893,1.665348433,100,569676,0,283890.7503,-283890.7503,283890.7503,283890.7503,water supplier
122,138,7,Bhutan,0.450201544,0.294400207,0.913453878,100,774830,0,352532.0338,-352532.0338,352532.0338,352532.0338,water supplier
88,100,29,New Zealand,1.351785653,1.618244018,0.711491315,100,4595700,0,1676609.867,-1676609.867,1676609.867,1676609.867,water supplier
104,117,12,Denmark,0.95293102,1.022542026,0.464135727,100,5676002,0,2297117.162,-2297117.162,2297117.162,2297117.162,water supplier
127,143,28,Norway,0.400524984,0.906534614,1.688353053,100,5195921,0,2389850.882,-2389850.882,2389850.882,2389850.882,water supplier
99,112,8,Switzerland,1.064087164,0.473643444,1.706997214,100,8286976,0,3261681.521,-3261681.521,3261681.521,3261681.521,water supplier
92,104,35,Sweden,1.304243204,1.55715029,1.354560469,100,9798871,0,3621424.409,-3621424.409,3621424.409,3621424.409,water supplier
130,146,4,Austria,0.322035824,0.585885938,1.739632912,100,8611088,0,4028236.118,-4028236.118,4028236.118,4028236.118,water supplier
79,91,27,Netherlands,1.728848212,1.313731718,1.756163407,100,16936520,0,5540192.768,-5540192.768,5540192.768,5540192.768,water supplier
42,53,30,Portugal,3.338300161,0.781106172,1.372817504,100,10348648,0,6878538.686,-6878538.686,6878538.686,6878538.686,water supplier
45,56,18,Greece,3.27257144,1.035503154,1.078928005,100,10823732,0,7478889.513,-7478889.513,7478889.513,7478889.513,water supplier
50,61,5,Belgium,3.164518106,0.488070348,1.895713367,100,11285721,0,8285894.622,-8285894.622,8285894.622,8285894.622,water supplier
